"Survey Date","Question Group","Question Text",Respondents,"Average Rating Out of 7","Response 1 Text","Response 1 Percent","Response 2 Text","Response 2 Percent","Response 3 Text","Response 3 Percent","Response 4 Text","Response 4 Percent","Response 5 Text","Response 5 Percent","Response 6 Text","Response 6 Percent","Response 7 Text","Response 7 Percent"
01-JUN-2016,Conditions,"Real-time communications",406,4.79,Unacceptable,.0563519014,"Very Poor",.0484875850,Poor,.1124364998,Fair,.1658377746,Good,.2547258636,"Very Good",.1743085195,Excellent,.1878518560
01-JUN-2016,Communication,"Mbta website",431,4.92,"Extremely Dissatisfied",.0317492111,"Very Dissatisfied",.0300502445,"Somewhat Dissatisfied",.0713970193,Neutral,.2027582008,"Somewhat Satisfied",.2854444470,"Very Satisfied",.2770361455,"Extremely Satisfied",.1015647319
01-JUN-2016,Communication,"Real time arrival signage (""countdown timers"")",456,5.33,"Extremely Dissatisfied",.0405499557,"Very Dissatisfied",.0168673064,"Somewhat Dissatisfied",.0887990780,Neutral,.0753628438,"Somewhat Satisfied",.2134068686,"Very Satisfied",.3307938168,"Extremely Satisfied",.2342201308
01-JUN-2016,Communication,"In-station announcements",440,4.66,"Extremely Dissatisfied",.0475232475,"Very Dissatisfied",.0677262337,"Somewhat Dissatisfied",.1282244805,Neutral,.1467403989,"Somewhat Satisfied",.2643183232,"Very Satisfied",.2295697010,"Extremely Satisfied",.1158976152
01-JUN-2016,Communication,"On-vehicle announcements",474,4.29,"Extremely Dissatisfied",.0598912654,"Very Dissatisfied",.0937195372,"Somewhat Dissatisfied",.1852102366,Neutral,.1514481582,"Somewhat Satisfied",.2524404795,"Very Satisfied",.1812271776,"Extremely Satisfied",.0760631455
01-JUN-2016,Communication,T-alerts,422,4.69,"Extremely Dissatisfied",.0612806910,"Very Dissatisfied",.0519319581,"Somewhat Dissatisfied",.1192255897,Neutral,.1581061526,"Somewhat Satisfied",.2480812179,"Very Satisfied",.2312589041,"Extremely Satisfied",.1301154865
01-JUN-2016,Communication,"Real-time mobile apps (e.g. nextbus)",294,5.12,"Extremely Dissatisfied",.0417462122,"Very Dissatisfied",.0292728066,"Somewhat Dissatisfied",.0802353624,Neutral,.1270706587,"Somewhat Satisfied",.2394605993,"Very Satisfied",.2989670461,"Extremely Satisfied",.1832473147
01-JUN-2016,"Top Line","How would you rate the mbta overall?",535,4.42,"Extremely Dissatisfied",.0369447034,"Very Dissatisfied",.0988293306,"Somewhat Dissatisfied",.1716716880,Neutral,.0961999487,"Somewhat Satisfied",.3301054879,"Very Satisfied",.2335300369,"Extremely Satisfied",.0327188046
01-JUN-2016,"Top Line","How would you rate this trip overall?",491,4.66,"Extremely Dissatisfied",.0650990981,"Very Dissatisfied",.0588656431,"Somewhat Dissatisfied",.1262948823,Neutral,.1200984491,"Somewhat Satisfied",.2239073677,"Very Satisfied",.3449180585,"Extremely Satisfied",.0608165012
01-JUN-2016,"Top Line","How likely are you to continue using the mbta in the future?",491,6.38,"Extremely Unlikely",.0072823669,"Very Unlikely",.0025699135,Unlikely,.0101211996,"Neither Likely nor Unlikely",.0255315220,Likely,.0715295196,"Very Likely",.3053921237,"Extremely Likely",.5775733547
01-JUN-2016,"Top Line","How likely are you to recommend the mbta to a friend or colleague?",483,4.93,"Extremely Unlikely",.0625386186,"Very Unlikely",.0500837425,Unlikely,.0615937095,"Neither Likely nor Unlikely",.1947067265,Likely,.1940669632,"Very Likely",.2217718249,"Extremely Likely",.2152384148
01-JUN-2016,Perceptions,"The mbta provides reliable public transportation services.",482,3.97,"Strongly Disagree",.1272307744,Disagree,.1563923335,"Slightly Disagree",.1313862044,"Neither Agree nor Disagree",.0889274026,"Slightly Agree",.2216711864,Agree,.2467289886,"Strongly Agree",.0276631101
01-JUN-2016,Perceptions,"The mbta is a cost-conscious organization.",482,3.21,"Strongly Disagree",.2240731180,Disagree,.1849273326,"Slightly Disagree",.1382973324,"Neither Agree nor Disagree",.2062670762,"Slightly Agree",.1132134574,Agree,.1191814045,"Strongly Agree",.0140402788
01-JUN-2016,Perceptions,"The mbta uses technology to meet the needs and demands of its riders.",482,4.33,"Strongly Disagree",.0906791581,Disagree,.1089399773,"Slightly Disagree",.1009147702,"Neither Agree nor Disagree",.1361440054,"Slightly Agree",.2459426255,Agree,.2768754993,"Strongly Agree",.0405039642
01-JUN-2016,Perceptions,"The mbta is a good value for the money.",483,4.40,"Strongly Disagree",.0847481272,Disagree,.1120769990,"Slightly Disagree",.1198228687,"Neither Agree nor Disagree",.1465818899,"Slightly Agree",.1609705753,Agree,.2867419570,"Strongly Agree",.0890575829
01-JUN-2016,Perceptions,"The mbta has a fleet of trains and buses that are clean and well maintained.",482,3.66,"Strongly Disagree",.1442784025,Disagree,.1573713887,"Slightly Disagree",.1843386467,"Neither Agree nor Disagree",.1176842640,"Slightly Agree",.2164496673,Agree,.1622409437,"Strongly Agree",.0176366871
01-JUN-2016,Conditions,"Wait time at stop",490,4.94,Unacceptable,.0640355714,"Very Poor",.0424847156,Poor,.0614001227,Fair,.1884568275,Good,.2290596278,"Very Good",.1964262288,Excellent,.2181369062
01-JUN-2016,Conditions,"Stop condition &amp; cleanliness",487,4.94,Unacceptable,.0210804741,"Very Poor",.0262781608,Poor,.0655250453,Fair,.2502274716,Good,.2750166216,"Very Good",.2387741365,Excellent,.1230980901
01-JUN-2016,Conditions,"Vehicle crowdedness",490,4.52,Unacceptable,.0777339607,"Very Poor",.0616848443,Poor,.1144140558,Fair,.1936079190,Good,.2356972520,"Very Good",.1941512755,Excellent,.1227106926
01-JUL-2016,Conditions,"Parking availability",400,4.92,Unacceptable,.0729410911,"Very Poor",.0645310501,Poor,.0223596836,Fair,.1739820294,Good,.2491878303,"Very Good",.2111440501,Excellent,.2058542652
01-JUL-2016,Perceptions,"The mbta provides reliable public transportation services.",395,4.05,"Strongly Disagree",.1043000000,Disagree,.1339000000,"Slightly Disagree",.1486000000,"Neither Agree nor Disagree",.1038000000,"Slightly Agree",.2618000000,Agree,.2205000000,"Strongly Agree",.0270000000
01-JUL-2016,Perceptions,"The mbta is a cost-conscious organization.",393,3.33,"Strongly Disagree",.2102000000,Disagree,.1596000000,"Slightly Disagree",.1903000000,"Neither Agree nor Disagree",.1600000000,"Slightly Agree",.1210000000,Agree,.1306000000,"Strongly Agree",.0284000000
01-JUL-2016,Perceptions,"The mbta uses technology to meet the needs and demands of its riders.",395,4.37,"Strongly Disagree",.0823000000,Disagree,.0739000000,"Slightly Disagree",.1147000000,"Neither Agree nor Disagree",.1681000000,"Slightly Agree",.2832000000,Agree,.2348000000,"Strongly Agree",.0430000000
01-JUL-2016,Perceptions,"The mbta is a good value for the money.",395,4.39,"Strongly Disagree",.0799000000,Disagree,.1199000000,"Slightly Disagree",.1193000000,"Neither Agree nor Disagree",.1439000000,"Slightly Agree",.1912000000,Agree,.2366000000,"Strongly Agree",.1093000000
01-JUL-2016,Perceptions,"The mbta has a fleet of trains and buses that are clean and well maintained.",395,3.60,"Strongly Disagree",.1486000000,Disagree,.1366000000,"Slightly Disagree",.2092000000,"Neither Agree nor Disagree",.1420000000,"Slightly Agree",.2068000000,Agree,.1465000000,"Strongly Agree",.0103000000
01-JUL-2016,Conditions,"Vehicle cleanliness",400,4.90,Unacceptable,.0177796564,"Very Poor",.0256528849,Poor,.0603233984,Fair,.2459023656,Good,.3233109765,"Very Good",.2391338995,Excellent,.0878968187
01-JUL-2016,Conditions,"Real-time communications",400,4.83,Unacceptable,.0441767016,"Very Poor",.0429474953,Poor,.1020545331,Fair,.1640504798,Good,.2859629390,"Very Good",.2197236200,Excellent,.1410842313
01-JUL-2016,Communication,"Mbta website",394,4.96,"Extremely Dissatisfied",.0173418014,"Very Dissatisfied",.0378282147,"Somewhat Dissatisfied",.0755302887,Neutral,.1860047838,"Somewhat Satisfied",.2966119883,"Very Satisfied",.2959027692,"Extremely Satisfied",.0907801539
01-JUL-2016,Communication,"Real time arrival signage (""countdown timers"")",394,5.21,"Extremely Dissatisfied",.0215387958,"Very Dissatisfied",.0395170967,"Somewhat Dissatisfied",.1114435813,Neutral,.0815161644,"Somewhat Satisfied",.2377937729,"Very Satisfied",.3016064464,"Extremely Satisfied",.2065841426
01-JUL-2016,Communication,"In-station announcements",395,4.56,"Extremely Dissatisfied",.0341898848,"Very Dissatisfied",.0505853024,"Somewhat Dissatisfied",.1822156716,Neutral,.1437185858,"Somewhat Satisfied",.3134078118,"Very Satisfied",.1901549058,"Extremely Satisfied",.0857278378
01-JUL-2016,Communication,"On-vehicle announcements",395,4.25,"Extremely Dissatisfied",.0547256786,"Very Dissatisfied",.0610012026,"Somewhat Dissatisfied",.2261027175,Neutral,.1826272243,"Somewhat Satisfied",.2576576244,"Very Satisfied",.1522499273,"Extremely Satisfied",.0656356254
01-JUL-2016,"Top Line","How would you rate the mbta overall?",445,4.61,"Extremely Dissatisfied",.0441000000,"Very Dissatisfied",.0620000000,"Somewhat Dissatisfied",.1149000000,Neutral,.1157000000,"Somewhat Satisfied",.3800000000,"Very Satisfied",.2473000000,"Extremely Satisfied",.0358000000
01-JUL-2016,"Top Line","How would you rate this trip overall?",400,4.79,"Extremely Dissatisfied",.0418000000,"Very Dissatisfied",.0735000000,"Somewhat Dissatisfied",.0816000000,Neutral,.1381000000,"Somewhat Satisfied",.2468000000,"Very Satisfied",.3532000000,"Extremely Satisfied",.0649000000
01-JUL-2016,"Top Line","How likely are you to continue using the mbta in the future?",400,6.35,"Extremely Unlikely",.0067000000,"Very Unlikely",.0045000000,Unlikely,.0091000000,"Neither Likely nor Unlikely",.0305000000,Likely,.0858000000,"Very Likely",.2879000000,"Extremely Likely",.5754000000
01-JUL-2016,Communication,T-alerts,395,4.79,"Extremely Dissatisfied",.0438985319,"Very Dissatisfied",.0503193744,"Somewhat Dissatisfied",.0702683681,Neutral,.1868272474,"Somewhat Satisfied",.3072082296,"Very Satisfied",.2395907162,"Extremely Satisfied",.1018875324
01-JUL-2016,Communication,"Real-time mobile apps (e.g. nextbus)",392,5.03,"Extremely Dissatisfied",.0298834612,"Very Dissatisfied",.0343267495,"Somewhat Dissatisfied",.1195905336,Neutral,.0985516753,"Somewhat Satisfied",.3065940540,"Very Satisfied",.2270523745,"Extremely Satisfied",.1840011518
01-JUL-2016,Conditions,"Speed/travel time",400,4.90,Unacceptable,.0385257934,"Very Poor",.0158022368,Poor,.0672009387,Fair,.2465385466,Good,.2873182126,"Very Good",.2071204214,Excellent,.1374938505
01-JUL-2016,"Top Line","How likely are you to recommend the mbta to a friend or colleague?",395,5.01,"Extremely Unlikely",.0708000000,"Very Unlikely",.0323000000,Unlikely,.0834000000,"Neither Likely nor Unlikely",.1547000000,Likely,.2027000000,"Very Likely",.2052000000,"Extremely Likely",.2510000000
01-JUL-2016,Conditions,"Wait time at stop",400,5.15,Unacceptable,.0528971841,"Very Poor",.0145956706,Poor,.0543037796,Fair,.1732130029,Good,.2452174528,"Very Good",.2346625747,Excellent,.2251103353
01-JUL-2016,Conditions,"Stop condition &amp; cleanliness",400,4.87,Unacceptable,.0199734359,"Very Poor",.0448128497,Poor,.0716127776,Fair,.2190419310,Good,.3071886727,"Very Good",.2232704785,Excellent,.1140998546
01-JUL-2016,Conditions,"Vehicle crowdedness",400,4.54,Unacceptable,.0511994987,"Very Poor",.0663647112,Poor,.1189752642,Fair,.2210276407,Good,.2581914034,"Very Good",.1677816329,Excellent,.1164598488
01-AUG-2016,"Top Line","How would you rate the mbta overall?",447,4.54,"Extremely Dissatisfied",.0359000000,"Very Dissatisfied",.0657000000,"Somewhat Dissatisfied",.1726000000,Neutral,.0865000000,"Somewhat Satisfied",.3510000000,"Very Satisfied",.2601000000,"Extremely Satisfied",.0283000000
01-AUG-2016,"Top Line","How would you rate this trip overall?",411,4.88,"Extremely Dissatisfied",.0393000000,"Very Dissatisfied",.0396000000,"Somewhat Dissatisfied",.1177000000,Neutral,.1245000000,"Somewhat Satisfied",.2267000000,"Very Satisfied",.3921000000,"Extremely Satisfied",.0601000000
01-AUG-2016,"Top Line","How likely are you to continue using the mbta in the future?",411,6.39,"Extremely Unlikely",.0131000000,"Very Unlikely",.0067000000,Unlikely,.0070000000,"Neither Likely nor Unlikely",.0270000000,Likely,.0515000000,"Very Likely",.2855000000,"Extremely Likely",.6091000000
01-AUG-2016,"Top Line","How likely are you to recommend the mbta to a friend or colleague?",410,4.99,"Extremely Unlikely",.0615000000,"Very Unlikely",.0674000000,Unlikely,.0636000000,"Neither Likely nor Unlikely",.1318000000,Likely,.1920000000,"Very Likely",.2654000000,"Extremely Likely",.2183000000
01-AUG-2016,Perceptions,"The mbta provides reliable public transportation services.",409,4.05,"Strongly Disagree",.1382000000,Disagree,.0966000000,"Slightly Disagree",.1658000000,"Neither Agree nor Disagree",.1082000000,"Slightly Agree",.2179000000,Agree,.2180000000,"Strongly Agree",.0553000000
